,location,coordinates,country
109,Givors,"(4.7696529, 45.5844238)",France
110,Cambo-les-Bains,"(-1.3994687, 43.3609139)",France
111,Soissons,"(3.327613, 49.3837621)",France
112,Castelnaudary,"(1.9533495, 43.3192021)",France
113,Angoulême,"(0.1576745, 45.6512748)",France
114,Agde,"(3.4771629, 43.3134787)",France
115,Avignon,"(4.8059012, 43.9492493)",France
116,Draguignan,"(6.4627333, 43.5374662)",France
117,Nice,"(7.2683912, 43.7009358)",France
118,Lorient,"(-3.3660907, 47.7477336)",France
119,Les Sables-d'Olonne,"(-1.7924575344192666, 46.5002031)",France
120,Sarrebourg,"(7.0557352, 48.734239)",France
121,Prato Nevoso,"(7.7855885, 44.2552915)",Italia
122,Luz Ardiden,"(-0.058821, 42.8850872)",France
123,Saint-Quentin,"(3.2876843, 49.8465253)",France
124,Castelsarrasin,"(1.1072875, 44.0395151)",France
125,Villeneuve-sur-Lot,"(0.7046455, 44.4056615)",France
126,Dinan,"(-2.047687, 48.4539775)",France
127,Cork,"(-8.4654674, 51.897077)",Éire / Ireland
128,Romans-sur-Isère,"(5.0528681, 45.0458886)",France
129,Montpellier,"(3.8767337, 43.6112422)",France
130,Hendaye,"(-1.7616499, 43.3641518)",France
131,Péronne,"(2.9321899, 49.9289578)",France
132,Oyonnax,"(5.673359347171946, 46.2476592)",France
133,Livarot,"(0.1519688, 49.0053166)",France
134,Pontchâteau,"(-2.0880233, 47.4373374)",France
135,Saint-Lary-Soulan,"(0.3219538, 42.816936)",France
136,Ivrea,"(7.874797, 45.4673791)",Italia
137,Basel,"(7.5878261, 47.5581077)",Schweiz/Suisse/Svizzera/Svizra
138,Thonon-les-Bains,"(6.4779448, 46.3731303)",France
139,Lanester,"(-3.3444489, 47.7639726)",France
140,Fécamp,"(0.374891, 49.7577729)",France
141,Sainte-Foy-la-Grande,"(0.214969, 44.8416496)",France
142,Eurotunnel,"(1.8090037, 50.9344866)",France
143,Ypres,"(2.891473683275896, 50.85169675)",België / Belgique / Belgien
144,Canterbury,"(1.0802533, 51.2800275)",United Kingdom
145,Pantin,"(2.4019804, 48.8965023)",France
146,Auch,"(0.5850507, 43.6463558)",France
147,Trets,"(5.6851425, 43.4469081)",France
148,Fribourg,"(7.1027113, 46.6789116)",Schweiz/Suisse/Svizzera/Svizra
149,Felsberg,"(9.477555, 46.8460537)",Schweiz/Suisse/Svizzera/Svizra
150,Annecy,"(6.1288847, 45.8992348)",France
151,Brétigny-sur-Orge,"(2.3075288, 48.6099887)",France
152,Ax-les-Thermes,"(1.8379765, 42.7193597)",France
153,Chaumont,"(5.1395849, 48.1111324)",France
154,Damazan,"(0.2751527, 44.2899682)",France
155,Montbéliard,"(6.7977564, 47.5102368)",France
156,Isola,"(7.0519874, 44.1860506)",France
157,Le Cap d'Agde,"(3.5116177678795313, 43.2930651)",France
158,Fontenay-sous-Bois,"(2.4749347, 48.8490721)",France
159,Dinant,"(4.9130588, 50.2591813)",België / Belgique / Belgien
160,Châtellerault,"(0.545812, 46.8180047)",France
161,Vizille,"(5.7715863, 45.0758358)",France
162,Fontaine,"(5.6869624, 45.1950183)",France
163,Bar-le-Duc,"(5.1623805, 48.7712673)",France
164,Esch-sur-Alzette,"(5.9850306, 49.4959628)",Lëtzebuerg
165,Jonzac,"(-0.4320984, 45.4454469)",France
166,Crans-Montana,"(7.526435803722132, 46.3304899)",Schweiz/Suisse/Svizzera/Svizra
167,Cap Fréhel,"(-2.318767, 48.6792002)",France
168,Champagnole,"(5.9083581, 46.7456049)",France
169,Aix-les-Bains,"(5.9146362, 45.6886292)",France
170,Saarbrücken,"(6.997495426501035, 49.247108100000005)",Deutschland
171,Neufchâtel-en-Bray,"(1.4421413, 49.7350035)",France
172,Frankfurt,"(8.6820917, 50.1106444)",Deutschland
173,Narbonne,"(3.0042121, 43.1837661)",France
174,Briançon,"(6.6436313, 44.8984037)",France
175,Le Revard,"(5.9772358, 45.6803934)",France
176,Villars-les-Dombes,"(5.029519, 46.0014072)",France
177,La Toussuire-Les Sybelles,"(6.254302998917014, 45.2637202)",France
178,Circuit Zolder,"(5.257665697426884, 50.990236949999996)",België / Belgique / Belgien
179,Cahors,"(1.4364999, 44.4495)",France
180,Saint-Amand-les-Eaux,"(3.4281142, 50.4491519)",France
181,La Planche des Belles Filles,"(6.7735372, 47.7671922)",France
182,Mons,"(3.951958, 50.4549568)",België / Belgique / Belgien
183,Meyrignac-l'Église,"(1.8520404, 45.4008292)",France
184,Sablé-sur-Sarthe,"(-0.3352048, 47.8400712)",France
185,Seurre,"(5.1487861, 46.9995787)",France
186,Corbeil-Essonnes,"(2.4818087, 48.6137734)",France
187,L'Isle-Jourdain,"(1.08426252814849, 43.615923050000006)",France
188,Saint-Maixent-l'École,"(-0.2019344, 46.4096855)",France
189,Cap d'Agde,"(3.5117752, 43.2845374)",France
190,La Châtre,"(1.9892292, 46.5815678)",France
191,Orcières,"(6.3267475, 44.6833203)",France
192,Saint-Gaudens,"(0.7247218, 43.1077682)",France
193,Beringen,"(5.220809082300834, 51.0502026)",België / Belgique / Belgien
194,Renazé,"(-1.0557842, 47.793333)",France
195,Abbeville,"(1.8337029, 50.1060835)",France
196,Hasselt,"(5.3378043, 50.9303735)",België / Belgique / Belgien
197,Arpajon-sur-Cère,"(2.4570176, 44.9034428)",France
198,Peyragudes,"(0.4561131095802365, 42.7807436)",France
199,Troyes,"(4.0746257, 48.2971626)",France
200,Cauterets,"(-0.114546, 42.8893451)",France
201,Valence,"(-0.3763353, 39.4697065)",España
202,Valkenburg,"(5.8312518, 50.8647531)",Nederland
203,Luxembourg City,"(6.129799, 49.6112768)",Lëtzebuerg
204,La Plagne,"(6.704912252907272, 45.50429855)",France
205,Andorra Arcalis,"(1.4912605793978895, 42.6271621)",Andorra
206,Pamiers,"(1.6082177, 43.1147515)",France
207,Amiens,"(2.2956951, 49.8941708)",France
208,Leuven,"(4.7011675, 50.879202)",België / Belgique / Belgien
209,Waregem - Compiègne,,
210,Cagnes-sur-Mer,"(7.1513834, 43.6612012)",France
211,Meudon,"(2.2385432, 48.8126688)",France
212,Jaunay-Clan,"(0.36249102317505283, 46.6945306)",France
213,Martigues,"(5.0548176, 43.4057279)",France
214,Koblenz,"(7.5943951, 50.3533278)",Deutschland
215,Bourgoin,"(5.2828123, 45.5872259)",France
216,Valentigney,"(6.8308784, 47.4622925)",France
217,Laruns,"(-0.4266324, 42.9882368)",France
218,Namur,"(4.8661892, 50.4665284)",België / Belgique / Belgien
219,Pont-Audemer,"(0.5333167486137402, 49.34758065)",France
220,Bayonne,"(-1.475099, 43.4933379)",France
221,Sint Willebrord,"(4.5918729, 51.5507046)",Nederland
222,Le Bourg-d'Oisans,"(6.0306625, 45.054713)",France
223,Harelbeke,"(3.3093368973972774, 50.844609649999995)",België / Belgique / Belgien
224,Val-Louron,"(0.3899518, 42.791965)",France
225,Périgueux,"(0.7184407, 45.1909365)",France
226,Chalon-sur-Saône,"(4.8529605, 46.7888997)",France
227,Blois,"(1.3337639, 47.5876861)",France
228,Le Tréport,"(1.3827656, 50.0591099)",France
229,Mûr-de-Bretagne,"(-2.9826182529094267, 48.1960984)",France
230,Corrèze,"(1.8176424406120555, 45.342904700000005)",France
231,Langon,"(-0.2449274, 44.5530659)",France
232,Chamonix,"(6.8727506, 45.9246705)",France
233,Foix,"(1.6053807, 42.9638998)",France
234,La Haie-Fouassière,"(-1.4000716, 47.1546806)",France
235,Les Menuires,"(6.5388965, 45.3242744)",France
236,Verbier,"(7.2285478, 46.0967949)",Schweiz/Suisse/Svizzera/Svizra
237,Nantua,"(5.6058987, 46.1534255)",France
238,Bourg-de-Péage,"(5.0520015, 45.0354375)",France
239,Autrans,"(5.560912074563527, 45.19969585)",France
240,Autun,"(4.2989478, 46.9510313)",France
241,Samatan,"(0.9316667, 43.4936111)",France
242,Saint-Gildas-des-Bois,"(-2.0369967, 47.5174681)",France
243,Orcières-Merlette,"(6.3235516, 44.6972064)",France
244,La Pierre Saint-Martin,"(-0.7443902, 42.9773624)",France
245,Louvroil,"(3.9623154, 50.2644717)",France
246,Herentals,"(4.83462866367042, 51.1855307)",België / Belgique / Belgien
247,Pont l'Evêque,"(2.9880799, 49.5643305)",France
248,Lac de Vassivière,"(1.9005095420269495, 45.798008100000004)",France
249,Tarascon-sur-Ariège,"(1.6067586, 42.8458016)",France
250,Alfortville,"(2.4197113, 48.8051624)",France
251,Val-d'Isère,"(6.9804421, 45.4498666)",France
252,Paris,"(2.3200410217200766, 48.8588897)",France
253,Le Pleynet,"(6.0555898, 45.2723252)",France
254,Versailles,"(2.1266886, 48.8035403)",France
255,Barcelonnette,"(6.6513554, 44.3862043)",France
256,Chassieu,"(4.9681796, 45.7422756)",France
257,Trouville,"(0.6010584, 49.5732368)",France
258,Granville,"(-1.5959213, 48.8376284)",France
259,Risoul,"(6.6387088, 44.6491889)",France
260,Toulouse,"(1.4442469, 43.6044622)",France
261,Les Sables d'Olonne,"(-1.7924575344192666, 46.5002031)",France
262,Valloire,"(6.4290103, 45.165058)",France
263,Bordeaux,"(-0.5800364, 44.841225)",France
264,Brussels,"(4.351697, 50.8465573)",België / Belgique / Belgien
265,St Gervais,"(5.4820229, 45.2022356)",France
266,Rouen,"(1.0939658, 49.4404591)",France
267,Guzet-Neige,"(1.3020896, 42.7791077)",France
268,Nancy,"(6.1834097, 48.6937223)",France
269,Liévin,"(2.7738, 50.4245)",France
270,Concarneau,"(-3.9223889, 47.8757017)",France
271,Angers,"(-0.5515588, 47.4739884)",France
272,Escaldes-Engordany,"(1.6070001140292214, 42.48691275)",Andorra
273,Colomiers,"(1.3282149, 43.6121001)",France
274,Salon-de-Provence,"(5.0980225, 43.6405237)",France
275,Neuchâtel,"(6.9292641, 46.9895828)",Schweiz/Suisse/Svizzera/Svizra
276,Alençon,"(0.0911374, 48.4312059)",France
277,Vatan,"(1.809034, 47.0714569)",France
278,Roubaix,"(3.1741734, 50.6915893)",France
279,Arlon,"(5.8167711, 49.6834601)",België / Belgique / Belgien
280,Villié-Morgon,"(4.6812724, 46.1612385)",France
281,Chalet Reynard,"(5.3189938, 44.1523405)",France
282,Millau,"(3.0777594, 44.1006693)",France
283,Le Creusot,"(4.4285961, 46.8054064)",France
284,Visé,"(5.6936397, 50.7347797)",België / Belgique / Belgien
285,Saint-Herblain,"(-1.6346964, 47.2233007)",France
286,Évian-les-Bains,"(6.581331041801459, 46.3910965)",France
287,Salies-de-Béarn,"(-0.9234025, 43.4703515)",France
288,Le Barcarès,"(3.0335243, 42.7946794)",France
289,Veurey,"(5.61271, 45.2722019)",France
290,Ajaccio,"(8.7376029, 41.9263991)",France
291,Avesnes-sur-Helpe,"(3.9321056, 50.1218835)",France
292,Brive-la-Gaillarde,"(1.5332389, 45.1584982)",France
293,Laon,"(3.620686, 49.564665)",France
294,Moirans-en-Montagne,"(5.7255731, 46.431063)",France
295,La Caverne du Pont-d'Arc,"(4.4267379292452835, 44.4070526)",France
296,Fromentine,"(-2.1366623, 46.8896706)",France
297,Station des Rousses,"(6.0546024, 46.4557195)",France
298,Cugnaux,"(1.3457537, 43.5369936)",France
