edition,start_date,winner_name,winner_team,distance_km,time_sec,gap_to_2nd_sec,stage_wins,stages_led,height,weight,age,born,died,full_name,nickname,birth_town,birth_country,nationality,year
1,1903-07-01,Maurice Garin,La Française,2428.0,340393.99999999994,10761.0,3,6,1.62,60.0,32,1871-03-03,1957-02-19,,The Little Chimney-sweep,Arvier,Italy, France,1903
2,1904-07-02,Henri Cornet,Conte,2428.0,345955.00000000006,8174.000000000002,1,3,,,19,1884-08-04,1941-03-18,,Le rigolo (The joker),Desvres,France, France,1904
3,1905-07-09,Louis Trousselier,Peugeot–Wolber,2994.0,,,5,10,,,24,1881-06-29,1939-04-24,,Levaloy / Trou-trou,Paris,France, France,1905
4,1906-07-04,René Pottier,Peugeot–Wolber,4637.0,,,5,12,,,27,1879-06-05,1907-01-25,,,Moret-sur-Loing,France, France,1906
5,1907-07-08,Lucien Petit-Breton,Peugeot–Wolber,4488.0,,,2,5,,,24,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France,1907
6,1908-07-13,Lucien Petit-Breton,Peugeot–Wolber,4497.0,,,5,13,,,25,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France,1908
7,1909-07-05,François Faber,Alcyon–Dunlop,4498.0,,,6,13,1.78,88.0,22,1887-01-26,1915-05-09,,The giant of colombes,Aulnay-sur-Iton,France, Luxembourg,1909
8,1910-07-01,Octave Lapize,Alcyon–Dunlop,4734.0,,,4,3,,,22,1887-10-24,1917-07-14,,,Paris,France, France,1910
9,1911-07-02,Gustave Garrigou,Alcyon–Dunlop,5343.0,,,2,13,,,26,1884-09-24,1963-01-28,Cyprien Gustave Garrigou,,Vabres,France, France,1911
10,1912-06-30,Odile Defraye,Alcyon–Dunlop,5289.0,,,3,13,,,23,1888-07-14,1965-08-21,,,Rumbeke,Belgium, Belgium,1912
11,1913-06-29,Philippe Thys,Peugeot–Wolber,5287.0,712440.0,487.99999999999983,1,8,,,23,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium,1913
