rank,rider,team,b,p,year,distance_km,number_of_stages,time_sec,time_gap_to_winner_sec,result_type
1,MAURICE GARIN,,,,1903,2428,6,340394,0,time
2,LUCIEN POTHIER,,,,1903,2428,6,351155,10761,time
3,FERNAND AUGEREAU,,,,1903,2428,6,356558,16164,time
4,RODOLPHE MULLER,,,,1903,2428,6,357164,16770,time
5,JEAN-BAPTISTE FISCHER,,,,1903,2428,6,358918,18524,time
6,MARCEL KERFF,,,,1903,2428,6,365858,25464,time
7,DIT SAMSON JULIEN LOOTENS,,,,1903,2428,6,374782,34388,time
8,GEORGES PASQUIER,,,,1903,2428,6,381558,41164,time
9,FRANÇOIS BEAUGENDRE,,,,1903,2428,6,383248,42854,time
10,ALOIS CATTEAU,,,,1903,2428,6,390011,49617,time
11,JEAN DARGASSIES,,,,1903,2428,6,393905,53511,time
12,FERDINAND PAYAN,,,,1903,2428,6,395067,54673,time
13,JULIEN GIRBE,,,,1903,2428,6,409937,69543,time
14,ISIDORE LE CHARTIER,,,,1903,2428,6,412838,72444,time
15,JOSEF FISCHER,,,,1903,2428,6,416991,76597,time
16,ALEXANDRE FOUREAUX,,,,1903,2428,6,440777,100383,time
17,RENÉ SALAIS,,,,1903,2428,6,443408,103014,time
18,EMILE MOULIN,,,,1903,2428,6,505000,164606,time
19,GEORGES BOROT,,,,1903,2428,6,511874,171480,time
20,PIERRE DESVAGES,,,,1903,2428,6,552450,0,time
21,ARSÈNE MILLOCHEAU,,,,1903,2428,6,559844,0,time
1,HENRI CORNET (GEBOREN JARDY),,,,1904,2428,6,345955,0,time
2,JEAN-BAPTISTE DORTIGNACQ,,,,1904,2428,6,354129,8174,time
3,ALOIS CATTEAU,,,,1904,2428,6,378440,32485,time
4,JEAN DARGASSIES,,,,1904,2428,6,385825,39870,time
5,JULIEN MAITRON,,,,1904,2428,6,407530,61575,time
6,AUGUSTE DAUMAIN,,,,1904,2428,6,420631,74676,time
7,LOUIS COLSAET,,,,1904,2428,6,424215,78260,time
8,ACHILLE COLAS,,,,1904,2428,6,429345,83390,time
9,RENÉ SAGET,,,,1904,2428,6,432071,86116,time
10,GUSTAVE DRIOUL,,,,1904,2428,6,450034,104079,time
11,HENRI PARET,,,,1904,2428,6,455064,109109,time
12,AUGUSTE GAUTHIER,,,,1904,2428,6,458387,112432,time
13,AUGUSTE RIST,,,,1904,2428,6,464825,118870,time
14,NICOLAS DAMELINCOURT,,,,1904,2428,6,513888,167933,time
15,ANTOINE DEFLOTRIERE,,,,1904,2428,6,707677,0,time
1,LOUIS TROUSSELIER,,,,1905,2994,11,0,0,
2,HIPPOLYTE AUCOUTURIER,,,,1905,2994,11,0,0,
3,JEAN-BAPTISTE DORTIGNACQ,,,,1905,2994,11,0,0,
4,EMILE GEORGET,,,,1905,2994,11,0,0,
5,LUCIEN MAZAN DIT PETIT-BRETON,,,,1905,2994,11,0,0,
6,AUGUSTINN RINGEVAL,,,,1905,2994,11,0,0,
7,PAUL CHAUVET,,,,1905,2994,11,0,0,
8,PHILIPPE PAUTRAT,,,,1905,2994,11,0,0,
9,JULIEN GABORY,,,,1905,2994,11,0,0,
10,JULIEN MAITRON,,,,1905,2994,11,0,0,
11,ALOIS CATTEAU,,,,1905,2994,11,0,0,
12,MARTIN SOULIE,,,,1905,2994,11,0,0,
13,LÉON LEYGOUTTE,,,,1905,2994,11,0,0,
14,CAMILLE FILY,,,,1905,2994,11,0,0,
15,ANTOINE WATTELIER,,,,1905,2994,11,0,0,
16,HENRI LIGNON,,,,1905,2994,11,0,0,
17,MAURICE DECAUP,,,,1905,2994,11,0,0,
18,MAURICE CARRERE,,,,1905,2994,11,0,0,
19,GUSTAVE GUILLARME,,,,1905,2994,11,0,0,
20,LUDO LOOS,,,,1905,2994,11,0,0,
21,PINCHAU,,,,1905,2994,11,0,0,
22,EUGÈNE VENTRESQUE,,,,1905,2994,11,0,0,
23,FERNAND LALLEMENT,,,,1905,2994,11,0,0,
24,CLOVIS LACROIX,,,,1905,2994,11,0,0,
1,RENÉ POTTIER,,,,1906,4637,14,0,0,
2,GEORGES PASSERIEU,,,,1906,4637,14,0,0,
3,LOUIS TROUSSELIER,,,,1906,4637,14,0,0,
4,LUCIEN MAZAN DIT PETIT-BRETON,,,,1906,4637,14,0,0,
5,EMILE GEORGET,,,,1906,4637,14,0,0,
6,ALOIS CATTEAU,,,,1906,4637,14,0,0,
7,EDOUARD WATTELIER,,,,1906,4637,14,0,0,
8,LÉON GEORGET,,,,1906,4637,14,0,0,
9,EUGÈNE CHRISTOPHE,,,,1906,4637,14,0,0,
10,ANTOINE WATTELIER,,,,1906,4637,14,0,0,
11,GEORGES FLEURY,,,,1906,4637,14,0,0,
12,FERDINAND PAYAN,,,,1906,4637,14,0,0,
13,LÉON WINANT,,,,1906,4637,14,0,0,
14,GEORGES BRONCHARD,,,,1906,4637,14,0,0,
1,LUCIEN MAZAN DIT PETIT-BRETON,,,,1907,4488,14,169200,0,points
2,GUSTAVE GARRIGOU,,,,1907,4488,14,237600,0,points
3,EMILE GEORGET,,,,1907,4488,14,266400,0,points
4,GEORGES PASSERIEU,,,,1907,4488,14,306000,0,points
5,FRANÇOIS BEAUGENDRE,,,,1907,4488,14,442800,0,points
6,EBERADO PAVESI,,,,1907,4488,14,540000,0,points
7,FRANÇOIS FABER,,,,1907,4488,14,561600,0,points
8,AUGUSTINN RINGEVAL,,,,1907,4488,14,662400,0,points
9,ALOIS CATTEAU,,,,1907,4488,14,680400,0,points
10,FERDINAND PAYAN,,,,1907,4488,14,817200,0,points
11,PIERRE PRIVAT,,,,1907,4488,14,903600,0,points
12,GEORGES FLEURY,,,,1907,4488,14,986400,0,points
13,FRANÇOIS LAFOURCADE,,,,1907,4488,14,1076400,0,points
14,MARIUS VILETTE,,,,1907,4488,14,1198800,0,points
15,ALZIR VIVIER,,,,1907,4488,14,1224000,0,points
16,GASTON TUVACHE,,,,1907,4488,14,1252800,0,points
17,EUGÈNE DELHAYE,,,,1907,4488,14,1360800,0,points
18,BAPTISTE ROUX,,,,1907,4488,14,1400400,0,points
19,PHILIPPE PAUTRAT,,,,1907,4488,14,1414800,0,points
20,HENRI TIMMERMANN,,,,1907,4488,14,1479600,0,points
21,GEORGES BRONCHARD,,,,1907,4488,14,1490400,0,points
22,MARCEAU NARCY,,,,1907,4488,14,1497600,0,points
23,HONORÉ GENIN,,,,1907,4488,14,1562400,0,points
24,EDOUARD WATTELIER,,,,1907,4488,14,1569600,0,points
25,ALBERT BAUDET,,,,1907,4488,14,1580400,0,points
26,ALFRED LE BARS,,,,1907,4488,14,1724400,0,points
27,ALFRED QUENON,,,,1907,4488,14,1753200,0,points
28,LOUIS LORILLON,,,,1907,4488,14,1767600,0,points
29,RENÉ FLEURY,,,,1907,4488,14,1782000,0,points
30,OCTAVE NOEL,,,,1907,4488,14,1818000,0,points
31,ALBERT GERAUD,,,,1907,4488,14,1854000,0,points
32,MARCEL DOZOL,,,,1907,4488,14,1879200,0,points
33,ALBERT CHARTIER,,,,1907,4488,14,2044800,0,points
1,LUCIEN MAZAN DIT PETIT-BRETON,,,,1908,4488,15,0,0,
2,FRANÇOIS FABER,,,,1908,4488,15,0,0,
3,GEORGES PASSERIEU,,,,1908,4488,15,0,0,
4,GUSTAVE GARRIGOU,,,,1908,4488,15,0,0,
5,LUIGI GANNA,,,,1908,4488,15,0,0,
6,GEORGES PAULMIER,,,,1908,4488,15,0,0,
7,GEORGES FLEURY,,,,1908,4488,15,0,0,
8,HENRI CORNET (GEBOREN JARDY),,,,1908,4488,15,0,0,
9,MARCEL GODIVIER,,,,1908,4488,15,0,0,
10,GIOVANNI ROSSIGNOLI,,,,1908,4488,15,0,0,
11,PAUL DUBOC,,,,1908,4488,15,0,0,
12,CLEMENTE CANEPARI,,,,1908,4488,15,0,0,
13,OMER BEAUGENDRE,,,,1908,4488,15,0,0,
14,PAUL CHAUVET,,,,1908,4488,15,0,0,
15,EUGÈNE FORESTIER,,,,1908,4488,15,0,0,
16,ACHILLE GERMAIN,,,,1908,4488,15,0,0,
17,ANDRÉ POTTIER,,,,1908,4488,15,0,0,
18,"ERNEST, DIT ''FABER ERNEST'' PAUL",,,,1908,4488,15,0,0,
19,ALDO BETTINI,,,,1908,4488,15,0,0,
20,GIOVANNI GERBI,,,,1908,4488,15,0,0,
21,ALOIS CATTEAU,,,,1908,4488,15,0,0,
22,MARCEAU NARCY,,,,1908,4488,15,0,0,
23,MARTIN SOULIE,,,,1908,4488,15,0,0,
24,FERDINAND PAYAN,,,,1908,4488,15,0,0,
25,NOËL COMBELLES,,,,1908,4488,15,0,0,
26,GONZALES,,,,1908,4488,15,0,0,
27,ALEXANDRE BODINIER,,,,1908,4488,15,0,0,
28,EDOUARD WATTELIER,,,,1908,4488,15,0,0,
29,GEORGES BRONCHARD,,,,1908,4488,15,0,0,
30,ROBERT LECOINTE,,,,1908,4488,15,0,0,
31,ANTOINE WATTELIER,,,,1908,4488,15,0,0,
32,ELOI GUICHARD,,,,1908,4488,15,0,0,
33,LÉON RABOT,,,,1908,4488,15,0,0,
34,JEAN DARCHE,,,,1908,4488,15,0,0,
35,LOUIS DI MARIA,,,,1908,4488,15,0,0,
36,HENRI ANTHOINE,,,,1908,4488,15,0,0,
1,FRANÇOIS FABER,,,,1909,4497,14,133200,0,points
2,GUSTAVE GARRIGOU,,,,1909,4497,14,205200,0,points
3,JEAN ALAVOINE,,,,1909,4497,14,237600,0,points
4,PAUL DUBOC,,,,1909,4497,14,252000,0,points
5,CYRILLE VAN HAUWAERT,,,,1909,4497,14,331200,0,points
6,"ERNEST, DIT ''FABER ERNEST'' PAUL",,,,1909,4497,14,342000,0,points
7,CONSTANT MENAGER,,,,1909,4497,14,367200,0,points
8,LOUIS TROUSSELIER,,,,1909,4497,14,410400,0,points
9,EUGÈNE CHRISTOPHE,,,,1909,4497,14,500400,0,points
10,ALDO BETTINI,,,,1909,4497,14,511200,0,points
11,JULIEN MAITRON,,,,1909,4497,14,532800,0,points
12,GEORGES FLEURY,,,,1909,4497,14,547200,0,points
13,ALFRED FAURE,,,,1909,4497,14,738000,0,points
14,MARIO GAJONI,,,,1909,4497,14,756000,0,points
15,ATTILIO ZAVATTI,,,,1909,4497,14,867600,0,points
16,JULES DELOFFRE,,,,1909,4497,14,907200,0,points
17,JOSEPH HABIERRE,,,,1909,4497,14,1065600,0,points
18,ILDEBRANDO GAMBERINI,,,,1909,4497,14,1098000,0,points
19,ALFRED LE BARS,,,,1909,4497,14,1141200,0,points
20,EMILE LACHAISE,,,,1909,4497,14,1177200,0,points
21,LUCIEN LEMAN,,,,1909,4497,14,1227600,0,points
22,LÉON RABOT,,,,1909,4497,14,1234800,0,points
23,GEORGES OUDIN,,,,1909,4497,14,1242000,0,points
24,AMÉDÉE DUTIRON,,,,1909,4497,14,1263600,0,points
26,PIERRE LANGLADE,,,,1909,4497,14,1454400,0,points
27,ANGELO MAGNANOLI,,,,1909,4497,14,1465200,0,points
28,ANTOINE WATTELIER,,,,1909,4497,14,1479600,0,points
29,ALFRED VAIDIS,,,,1909,4497,14,1620000,0,points
30,HENRI ALAVOINE,,,,1909,4497,14,1681200,0,points
31,PAUL BOILLAT,,,,1909,4497,14,1695600,0,points
32,AMLETO BELLONI,,,,1909,4497,14,1717200,0,points
33,RENÉ CHAUDE,,,,1909,4497,14,1724400,0,points
34,JOSEPH LEBLANC,,,,1909,4497,14,1731600,0,points
35,AUGUSTE DENIZOT,,,,1909,4497,14,1742400,0,points
36,AUGUSTE DUFOUR,,,,1909,4497,14,1767600,0,points
37,ANTOINE FAURE,,,,1909,4497,14,1782000,0,points
38,ALBERT LAGARNIER,,,,1909,4497,14,1864800,0,points
39,RODOLPHE MEILI,,,,1909,4497,14,1972800,0,points
40,LOUIS GARDENT,,,,1909,4497,14,1976400,0,points
41,ROGER RIVIERE,,,,1909,4497,14,2001600,0,points
42,FRANÇOIS ROCHE,,,,1909,4497,14,2019600,0,points
43,LUCIEN COLIN,,,,1909,4497,14,2048400,0,points
44,ANDRÉ HERBELIN,,,,1909,4497,14,2062800,0,points
45,JEAN PERRUCA,,,,1909,4497,14,2084400,0,points
46,EUGÈNE LEROY,,,,1909,4497,14,2147483,0,points
47,CAMILLE MATHIEU,,,,1909,4497,14,2147483,0,points
48,CHARLES PONSON,,,,1909,4497,14,2147483,0,points
49,PAUL PIETROIS,,,,1909,4497,14,2147483,0,points
50,LOUIS DI MARIA,,,,1909,4497,14,2147483,0,points
51,HENRI ANTHOINE,,,,1909,4497,14,2147483,0,points
52,HENRI ORY,,,,1909,4497,14,2147483,0,points
53,ERNEST GOUJON,,,,1909,4497,14,2147483,0,points
54,ALFRED GUIDEZ,,,,1909,4497,14,2147483,0,points
55,GEORGES DEVILLY,,,,1909,4497,14,2147483,0,points
1,OCTAVE LAPIZE,,,,1910,4734,15,226800,0,points
2,FRANÇOIS FABER,,,,1910,4734,15,241200,0,points
3,GUSTAVE GARRIGOU,,,,1910,4734,15,309600,0,points
4,CYRILLE VAN HAUWAERT,,,,1910,4734,15,349200,0,points
5,CHARLES CRUCHON,,,,1910,4734,15,428400,0,points
6,CHARLES CRUPELANDT,,,,1910,4734,15,525600,0,points
7,"ERNEST, DIT ''FABER ERNEST'' PAUL",,,,1910,4734,15,554400,0,points
8,ANDRÉ BLAISE,,,,1910,4734,15,597600,0,points
9,JULIEN MAITRON,,,,1910,4734,15,615600,0,points
10,ALDO BETTINI,,,,1910,4734,15,630000,0,points
11,PIERINO ALBINI,,,,1910,4734,15,633600,0,points
12,GEORGES PAULMIER,,,,1910,4734,15,655200,0,points
13,ERNESTO AZZINI,,,,1910,4734,15,698400,0,points
14,FRANÇOIS LAFOURCADE,,,,1910,4734,15,738000,0,points
15,JULES DELOFFRE,,,,1910,4734,15,766800,0,points
16,HENRI CORNET (GEBOREN JARDY),,,,1910,4734,15,770400,0,points
17,LUIGI AZZINI,,,,1910,4734,15,792000,0,points
18,CONSTANT MENAGER,,,,1910,4734,15,799200,0,points
19,AUGUSTINN RINGEVAL,,,,1910,4734,15,867600,0,points
20,FRÉDÉRIC SAILLOT,,,,1910,4734,15,928800,0,points
21,MAURICE PARDON,,,,1910,4734,15,1137600,0,points
22,JOSEPH LEBLANC,,,,1910,4734,15,1245600,0,points
23,GEORGES FLEURY,,,,1910,4734,15,1285200,0,points
24,JOSEPH HABIERRE,,,,1910,4734,15,1375200,0,points
25,JEAN RIOU,,,,1910,4734,15,1436400,0,points
26,AUGUSTE GUYON,,,,1910,4734,15,1450800,0,points
27,JEAN BOUILLET,,,,1910,4734,15,1461600,0,points
28,LUCIEN POTHIER,,,,1910,4734,15,1479600,0,points
29,MAURICE DECAUP,,,,1910,4734,15,1544400,0,points
30,LUCIEN LEMAN,,,,1910,4734,15,1558800,0,points
31,GABRIEL MATHONAT,,,,1910,4734,15,1598400,0,points
32,ROBERT CHOPARD,,,,1910,4734,15,1612800,0,points
33,PIETRO GHISLOTTI,,,,1910,4734,15,1771200,0,points
34,LUCIEN ROQUEBERT,,,,1910,4734,15,1807200,0,points
35,CAMILLE BIERE,,,,1910,4734,15,1836000,0,points
36,GEORGES CAUVRY,,,,1910,4734,15,1836000,0,points
37,AUGUSTE DUFOUR,,,,1910,4734,15,1890000,0,points
38,LOUIS JOUIN,,,,1910,4734,15,1911600,0,points
39,RENÉ CHAUDE,,,,1910,4734,15,1976400,0,points
40,LOUIS PICARD,,,,1910,4734,15,2044800,0,points
41,CONSTANT COLLET,,,,1910,4734,15,2088000,0,points
1,GUSTAVE GARRIGOU,,,,1911,5343,15,154800,0,points
2,PAUL DUBOC,,,,1911,5343,15,219600,0,points
3,EMILE GEORGET,,,,1911,5343,15,302400,0,points
4,CHARLES CRUPELANDT,,,,1911,5343,15,428400,0,points
5,LOUIS HEUSGHEM,,,,1911,5343,15,486000,0,points
6,MARCEL GODIVIER,,,,1911,5343,15,507600,0,points
7,CHARLES CRUCHON,,,,1911,5343,15,522000,0,points
8,"ERNEST, DIT ''FABER ERNEST'' PAUL",,,,1911,5343,15,550800,0,points
9,ALBERT DUPONT,,,,1911,5343,15,565200,0,points
10,HENRI DEVROYE,,,,1911,5343,15,615600,0,points
11,FIRMIN LAMBOT,,,,1911,5343,15,640800,0,points
12,HENRI CORNET (GEBOREN JARDY),,,,1911,5343,15,684000,0,points
13,PAUL DEMAN,,,,1911,5343,15,712800,0,points
14,JULIEN MAITRON,,,,1911,5343,15,777600,0,points
15,JULES DELOFFRE,,,,1911,5343,15,781200,0,points
16,GEORGES PAULMIER,,,,1911,5343,15,813600,0,points
17,OTTAVIO PRATESI,,,,1911,5343,15,903600,0,points
18,ALFRED FAURE,,,,1911,5343,15,918000,0,points
19,VINCENT D'HULST,,,,1911,5343,15,954000,0,points
20,LUCIEN POTHIER,,,,1911,5343,15,1022400,0,points
21,EDOUARD LEONARD,,,,1911,5343,15,1033200,0,points
22,CONSTANT MENAGER,,,,1911,5343,15,1044000,0,points
23,MAURICE PARDON,,,,1911,5343,15,1044000,0,points
24,LOUIS COLSAET,,,,1911,5343,15,1076400,0,points
25,MARIUS VILETTE,,,,1911,5343,15,1180800,0,points
26,ERNEST RICAUX,,,,1911,5343,15,1260000,0,points
27,PIETRO GHISLOTTI,,,,1911,5343,15,1353600,0,points
28,LUCIEN ROQUEBERT,,,,1911,5343,15,1407600,0,points
1,ODIEL DEFRAEYE,,,,1912,5289,15,176400,0,points
2,EUGÈNE CHRISTOPHE,,,,1912,5289,15,388800,0,points
3,GUSTAVE GARRIGOU,,,,1912,5289,15,504000,0,points
4,MARCEL BUYSSE,,,,1912,5289,15,529200,0,points
5,JEAN ALAVOINE,,,,1912,5289,15,532800,0,points
6,PHILIPPE THYS,,,,1912,5289,15,532800,0,points
7,HECTOR TIBERGHEN,,,,1912,5289,15,536400,0,points
8,HENRI DEVROYE,,,,1912,5289,15,586800,0,points
9,FÉLICIEN SALMON,,,,1912,5289,15,597600,0,points
10,ALFONS SPIESSENS,,,,1912,5289,15,601200,0,points
11,LOUIS HEUSGHEM,,,,1912,5289,15,601200,0,points
12,RENÉ VANDENBERGHE,,,,1912,5289,15,698400,0,points
13,VICENZO BORGARELLO,,,,1912,5289,15,763200,0,points
14,FRANÇOIS FABER,,,,1912,5289,15,824400,0,points
15,LOUIS ENGEL,,,,1912,5289,15,867600,0,points
16,CHARLES DERUYTER,,,,1912,5289,15,918000,0,points
17,JACQUES COOMANS,,,,1912,5289,15,936000,0,points
18,FIRMIN LAMBOT,,,,1912,5289,15,954000,0,points
19,OTTAVIO PRATESI,,,,1912,5289,15,1094400,0,points
20,CHARLES GUYOT,,,,1912,5289,15,1112400,0,points
21,JULES DELOFFRE,,,,1912,5289,15,1152000,0,points
22,GABRIEL FIGUET,,,,1912,5289,15,1206000,0,points
23,EDOUARD LEONARD,,,,1912,5289,15,1245600,0,points
24,EUGÈNE DHERS,,,,1912,5289,15,1274400,0,points
25,PIERRE-JOSEPH HEUSGHEM,,,,1912,5289,15,1288800,0,points
26,PIERRE EVERAERT,,,,1912,5289,15,1310400,0,points
27,JULIEN MAITRON,,,,1912,5289,15,1317600,0,points
28,HENRI CORNET (GEBOREN JARDY),,,,1912,5289,15,1432800,0,points
29,FRANÇOIS LAFOURCADE,,,,1912,5289,15,1432800,0,points
30,AUGUSTINN RINGEVAL,,,,1912,5289,15,1468800,0,points
31,MAURICE LELIAERT,,,,1912,5289,15,1753200,0,points
32,GEORGES OUDIN,,,,1912,5289,15,1778400,0,points
33,FERNAND COURCELLES,,,,1912,5289,15,1782000,0,points
34,RAYMOND HARQUET,,,,1912,5289,15,1843200,0,points
35,EMILE DRUZ,,,,1912,5289,15,1958400,0,points
36,EMILE EIGELDINGER,,,,1912,5289,15,1962000,0,points
37,CHARLES DUMONT,,,,1912,5289,15,1965600,0,points
38,HENRI ALAVOINE,,,,1912,5289,15,2077200,0,points
39,EMILE CAUDRELIER,,,,1912,5289,15,2147483,0,points
40,GASTON NEBOUX,,,,1912,5289,15,2147483,0,points
41,MAURICE DARTIGUE,,,,1912,5289,15,2147483,0,points
1,PHILIPPE THYS,,,,1913,5287,15,712440,0,time
2,GUSTAVE GARRIGOU,,,,1913,5287,15,712957,517,time
3,MARCEL BUYSSE,,,,1913,5287,15,725095,12655,time
4,FIRMIN LAMBOT,,,,1913,5287,15,727605,15165,time
5,FRANÇOIS FABER,,,,1913,5287,15,735604,23164,time
6,ALFONS SPIESSENS,,,,1913,5287,15,741112,28672,time
7,EUGÈNE CHRISTOPHE,,,,1913,5287,15,763235,50795,time
8,CAMILLO BERTARELLI,,,,1913,5287,15,771338,58898,time
9,JOSEPH VAN DAELE,,,,1913,5287,15,772433,59993,time
10,EMILE ENGEL,,,,1913,5287,15,773194,60754,time
11,LOUIS TROUSSELIER,,,,1913,5287,15,777930,65490,time
12,JULES DELOFFRE,,,,1913,5287,15,778531,66091,time
13,CLEMENTE CANEPARI,,,,1913,5287,15,780913,68473,time
14,PAUL DEMAN,,,,1913,5287,15,781862,69422,time
15,VINCENT D'HULST,,,,1913,5287,15,785052,72612,time
16,LOUIS PETITJEAN,,,,1913,5287,15,791667,79227,time
17,PAUL HOSTEIN,,,,1913,5287,15,804906,92466,time
18,MAURICE LELIAERT,,,,1913,5287,15,807145,94705,time
19,JEAN ALAVOINE,,,,1913,5287,15,812267,99827,time
20,GIUSEPPE CONTESINI,,,,1913,5287,15,819094,106654,time
21,LOUIS COLSAET,,,,1913,5287,15,823250,110810,time
22,LUC DE SMET,,,,1913,5287,15,909487,0,time
23,CHARLES DUMONT,,,,1913,5287,15,944875,0,time
24,CELIDONIO MORINI,,,,1913,5287,15,987947,0,time
25,HENRI ALAVOINE,,,,1913,5287,15,989392,0,time
1,PHILIPPE THYS,,,,1914,5380,15,721728,0,time
2,HENRI PELISSIER,,,,1914,5380,15,721838,110,time
3,JEAN ALAVOINE,,,,1914,5380,15,723941,2213,time
4,JEAN ROSSIUS,,,,1914,5380,15,728753,7025,time
5,GUSTAVE GARRIGOU,,,,1914,5380,15,732549,10821,time
6,ALFONS SPIESSENS,,,,1914,5380,15,735763,14035,time
7,EMILE GEORGET,,,,1914,5380,15,737387,15659,time
8,FIRMIN LAMBOT,,,,1914,5380,15,740252,18524,time
9,FRANÇOIS FABER,,,,1914,5380,15,744281,22553,time
10,LOUIS HEUSGHEM,,,,1914,5380,15,746270,24542,time
11,EUGÈNE CHRISTOPHE,,,,1914,5380,15,752446,30718,time
12,"ERNEST, DIT ''FABER ERNEST'' PAUL",,,,1914,5380,15,756699,34971,time
13,OSCAR EGG,,,,1914,5380,15,757768,36040,time
14,LÉON SCIEUR,,,,1914,5380,15,757878,36150,time
15,CAMILLE BOTTE,,,,1914,5380,15,758601,36873,time
16,ANGELO ERBA,,,,1914,5380,15,762610,40882,time
17,DON KIRKHAM,,,,1914,5380,15,764547,42819,time
18,CHARLES KIPPERT,,,,1914,5380,15,766449,44721,time
19,JACQUES COOMANS,,,,1914,5380,15,766503,44775,time
20,IVOR MUNRO,,,,1914,5380,15,767145,45417,time
21,CHARLES CHARRON,,,,1914,5380,15,768491,46763,time
22,HENRI DEVROYE,,,,1914,5380,15,769862,48134,time
23,MAURICE BROCCO,,,,1914,5380,15,774084,52356,time
24,JULIEN TUYTTEN,,,,1914,5380,15,774302,52574,time
25,VICENZO BORGARELLO,,,,1914,5380,15,776829,55101,time
26,LOUIS PETITJEAN,,,,1914,5380,15,778052,56324,time
27,JULES NEMPON,,,,1914,5380,15,781303,59575,time
28,RENÉ VANDENBERGHE,,,,1914,5380,15,783111,61383,time
29,MARCEL BAUMLER,,,,1914,5380,15,783283,61555,time
30,MARCEL GODIVIER,,,,1914,5380,15,787545,65817,time
31,PAUL DUBOC,,,,1914,5380,15,788540,66812,time
32,PIERRE EVERAERT,,,,1914,5380,15,791272,69544,time
33,OTTAVIO PRATESI,,,,1914,5380,15,795508,73780,time
34,CONSTANT MENAGER,,,,1914,5380,15,797133,75405,time
35,CHARLES CRUCHON,,,,1914,5380,15,797624,75896,time
36,JULES DELOFFRE,,,,1914,5380,15,801123,79395,time
37,CAMILLO BERTARELLI,,,,1914,5380,15,805034,83306,time
38,LOUIS TROUSSELIER,,,,1914,5380,15,807258,85530,time
39,ADRIEN ALPINI,,,,1914,5380,15,816070,94342,time
40,GASTON DEGY,,,,1914,5380,15,794082,72354,time
41,RAYMOND HARQUET,,,,1914,5380,15,829973,108245,time
42,LOUIS ENGEL,,,,1914,5380,15,832991,111263,time
43,EMILE GUYON,,,,1914,5380,15,833033,111305,time
44,MARIO SPINELLI,,,,1914,5380,15,848543,126815,time
46,CHARLES DUMONT,,,,1914,5380,15,857479,135751,time
47,RENÉ COTTREL,,,,1914,5380,15,892674,170946,time
48,SANTE GOI,,,,1914,5380,15,909860,0,time
49,EDUARDO CUCHETTI,,,,1914,5380,15,902944,0,time
50,GASTON NEBOUX,,,,1914,5380,15,937669,0,time
51,HENRY ALLARD,,,,1914,5380,15,965712,0,time
52,HENRI ALAVOINE,,,,1914,5380,15,987849,0,time
53,MARCEL ROTTIE,,,,1914,5380,15,1024318,0,time
54,HENRI LECLERC,,,,1914,5380,15,1078413,0,time
1,FIRMIN LAMBOT,,,,1919,5560,15,832035,0,time
2,JEAN ALAVOINE,,,,1919,5560,15,838209,6174,time
3,EUGÈNE CHRISTOPHE,,,,1919,5560,15,840826,8791,time
4,LÉON SCIEUR,,,,1919,5560,15,842370,10335,time
5,HONORÉ BARTHELEMY,,,,1919,5560,15,847297,15262,time
6,JACQUES COOMANS,,,,1919,5560,15,887329,55294,time
7,LUIGI LUCOTTI,,,,1919,5560,15,889707,57672,time
8,JOSEPH VAN DAELE,,,,1919,5560,15,898217,66182,time
9,ALFRED STEUX,,,,1919,5560,15,905776,73741,time
10,JULES NEMPON,,,,1919,5560,15,910287,78252,time
1,PHILIPPE THYS,,,,1920,5503,15,822973,0,time
2,HECTOR HEUSGHEM,,,,1920,5503,15,826414,3441,time
3,FIRMIN LAMBOT,,,,1920,5503,15,828643,5670,time
4,LÉON SCIEUR,,,,1920,5503,15,828966,5993,time
5,EMILE ''SENIOR'' MASSON,,,,1920,5503,15,833280,10307,time
6,LOUIS HEUSGHEM,,,,1920,5503,15,836220,13247,time
7,JEAN ROSSIUS,,,,1920,5503,15,836768,13795,time
8,HONORÉ BARTHELEMY,,,,1920,5503,15,843092,20119,time
9,FÉLIX GOETHALS,,,,1920,5503,15,856760,33787,time
10,JOSEPH VAN DAELE,,,,1920,5503,15,861714,38741,time
11,EUGÈNE DHERS,,,,1920,5503,15,863482,40509,time
12,JOSÉ PELLETIER,,,,1920,5503,15,895245,72272,time
13,THÉO WYNSDAU,,,,1920,5503,15,913815,90842,time
14,NOËL AMENC,,,,1920,5503,15,943320,120347,time
15,JOSEPH MULLER,,,,1920,5503,15,944706,121733,time
16,HENRI FERRARA,,,,1920,5503,15,947320,124347,time
17,GUILLAUME CECHERELLI,,,,1920,5503,15,998208,175235,time
18,MARIUS MATHERON,,,,1920,5503,15,1007237,0,time
19,ETIENNE DORFEUILLE,,,,1920,5503,15,1014373,0,time
20,PIERRE HUDSYN,,,,1920,5503,15,1023145,0,time
21,ANDRÉ COUTTE,,,,1920,5503,15,1024441,0,time
22,CHARLES RABOISON,,,,1920,5503,15,1071378,0,time
1,LÉON SCIEUR,,,,1921,5485,15,798626,0,time
2,HECTOR HEUSGHEM,,,,1921,5485,15,799742,1116,time
4,LUIGI LUCOTTI,,,,1921,5485,15,808184,9558,time
5,HECTOR TIBERGHEN,,,,1921,5485,15,815025,16399,time
6,VICTOR LEENAERTS,,,,1921,5485,15,816229,17603,time
7,LÉON DESPONTIN,,,,1921,5485,15,816740,18114,time
