Year,Yellow,Points,KOM,White,Team,Combativity
1996,Bjarne Riis,Erik Zabel,Richard Virenque,Jan Ullrich,Festina–Lotus,Richard Virenque
1997,Jan Ullrich,Erik Zabel,Richard Virenque,Jan Ullrich,Team Telekom,Richard Virenque
1998,Marco Pantani,Erik Zabel,Christophe Rinero,Jan Ullrich,Cofidis,Jacky Durand
1999,Lance Armstrong,Erik Zabel,Richard Virenque,Benoît Salmon,Banesto,Jacky Durand
2000,Lance Armstrong,Erik Zabel,Santiago Botero,Francisco Mancebo,Kelme–Costa Blanca,Erik Dekker
2001,Lance Armstrong,Erik Zabel,Laurent Jalabert,Óscar Sevilla,Kelme–Costa Blanca,Laurent Jalabert
2002,Lance Armstrong,Robbie McEwen,Laurent Jalabert,Ivan Basso,ONCE–Eroski,Laurent Jalabert
2003,Lance Armstrong,Baden Cooke,Richard Virenque,Denis Menchov,Team CSC,Alexander Vinokourov
2004,Lance Armstrong,Robbie McEwen,Richard Virenque,Vladimir Karpets,T-Mobile Team,Richard Virenque
2005,Lance Armstrong,Thor Hushovd,Michael Rasmussen,Yaroslav Popovych,T-Mobile Team,Óscar Pereiro
2006,Óscar Pereiro,Robbie McEwen,Michael Rasmussen,Damiano Cunego,Belgium B[a],David de la Fuente
2007,Alberto Contador,Tom Boonen,Mauricio Soler,Alberto Contador,Discovery Channel,Amets Txurruka
2008,Carlos Sastre,Óscar Freire,Bernhard Kohl Carlos Sastre,Andy Schleck,Belgium A[a],Sylvain Chavanel
2009,Alberto Contador,Thor Hushovd,Franco Pellizotti Egoi Martínez,Andy Schleck,Italy A[a],
2010,Andy Schleck,Alessandro Petacchi,Anthony Charteau,Andy Schleck,Belgium A[a],Sylvain Chavanel
2011,Cadel Evans,Mark Cavendish,Samuel Sánchez,Pierre Rolland,Garmin–Cervélo,Jérémy Roy
2012,Bradley Wiggins,Peter Sagan,Thomas Voeckler,Tejay van Garderen,RadioShack–Nissan,Chris Anker Sørensen
2013,Chris Froome,Peter Sagan,Nairo Quintana,Nairo Quintana,Saxo–Tinkoff,Christophe Riblon
2014,Vincenzo Nibali,Peter Sagan,Rafał Majka,Thibaut Pinot,Ag2r–La Mondiale,Alessandro De Marchi
2015,Chris Froome,Peter Sagan,Chris Froome,Nairo Quintana,Movistar Team,Romain Bardet
2016,Chris Froome,Peter Sagan,Rafał Majka,Adam Yates,Movistar Team,Peter Sagan
2017,Chris Froome,Michael Matthews,Warren Barguil,Simon Yates,Team Sky,Warren Barguil
2018,Geraint Thomas,Peter Sagan,Julian Alaphilippe,Pierre Latour,Movistar Team,Dan Martin
2019,Egan Bernal,Peter Sagan,Romain Bardet,Egan Bernal,Movistar Team,Julian Alaphilippe
